1;Shinsegae Food;Main cafeteria in Kaimaru;CAFETERIA;N11;WEEKDAYS,SATURDAY,SUNDAY;11:30-13:30 and 17:30-19:30;1;.
2;Ttukbaegi (MJ Food);Korean food;RESTAURANT;N11;WEEKDAYS,SATURDAY;10:00-19:30 or 10:00-14:00 on Saturday;1;.
3;Hue Gimbap;Korean food;RESTAURANT;N11;WEEKDAYS,SATURDAY;10:00-19:30 (break 15:00-16:00) or 9:00-14:30 on Saturday;1;.
4;Onigiri & Gyudong;Japanese food;RESTAURANT;N11;WEEKDAYS,SATURDAY;10:30-19:30 (break 14:30-16:30) or 10:30-14:00 on Saturday;1;.
5;Shanghai;Chinese food;RESTAURANT;N11;WEEKDAYS,SATURDAY;11:00-19:30 (break 14:30-16:30);1;.
6;East Cafeteria;Set menu;CAFETERIA;E5;WEEKDAYS,SATURDAY,SUNDAY;11:30-14:00 and 17:30-19:30 (19:00 on Weekends);1;.
7;West Cafeteria;Set menu;CAFETERIA;W2;WEEKDAYS,SATURDAY,SUNDAY;11:30-14:00 and 17:30-19:30 (19:00 on Weekends);1;.
8;Taewoolguan Ttuk Bae Gi;Korean food;CAFETERIA;N13;WEEKDAYS,SATURDAY,SUNDAY;11:30-13:30 and 17:00-19:30;1;.
9;Lotteria;Fast food;RESTAURANT;N13;WEEKDAYS,SATURDAY,SUNDAY;9:00-3:00;1;.
10;DDDN Pizza;Pizza;RESTAURANT;W2;WEEKDAYS,SATURDAY;9:00-19:00 or 11:00-18:00 on Saturday;1;.
11;Subway;Sandwich;RESTAURANT;E16;WEEKDAYS,SATURDAY,SUNDAY;8:00-23:00;1;.
12;Tous Les Jours;Bakery;CAFE;E6;WEEKDAYS,SATURDAY,SUNDAY;7:00-24:00;1;.
13;Dunkin Donuts;Donuts;CAFE;E3;WEEKDAYS,SATURDAY,SUNDAY;7:00-23:00;1;.
14;Mango Six;Cafe;CAFE;E4;WEEKDAYS,SATURDAY,SUNDAY;8:30-21:30 or 10:30-18:00 on Weekends;1;.
15;Cafe Droptop;Cafe;CAFE;W8;WEEKDAYS,SATURDAY,SUNDAY;8:00-22:00 or 9:00-21:00 on Weekends;1;.
16;A Twosome Place;Cafe;CAFE;N1;WEEKDAYS,SATURDAY,SUNDAY;7:00-23:00;1;.
17;Gran Cafe;Cafe in Kaimaru;CAFE;N11;WEEKDAYS,SATURDAY,SUNDAY;8:30-20:00 or 10:00-19:30 on Weekends;1;.
18;The Coffee Bean & Tea Leaf;Cafe;CAFE;W2;WEEKDAYS,SATURDAY,SUNDAY;8:00-21:30 or 9:00-21:30 on Weekends;1;.
19;Smoothie King;Smoothie;CAFE;W1;WEEKDAYS,SATURDAY,SUNDAY;7:00-23:00;1;.
20;Pulbitmaru;Halal food;RESTAURANT;N12;WEEKDAYS;11:00-14:00 and 16:00-19:00;1;.
21;Cafe Ogada;Cafe;CAFE;E9;WEEKDAYS,SATURDAY,SUNDAY;8:30-21:30;1;.
